Transaction,Children,Units Sold,Revenue
300,2,7,32.32
301,5,4,8.4
302,3,6,11.26
303,2,5,22.75
304,2,6,14.87
305,5,4,3.75
306,3,5,13.68
307,2,4,18.82
308,1,3,11
309,3,5,26.77
310,2,6,14.16
311,1,5,12.24
312,1,4,21.79
313,1,2,6.96
314,4,5,8.5
315,1,3,11.99
316,5,2,12.31
317,3,3,15.48
318,2,3,8.64
319,3,4,10.76
320,0,5,6.63
321,3,4,8.17
322,4,5,14.25
323,3,5,18.4
324,3,5,13.19
325,2,3,5.04
326,1,5,12.49
327,4,7,16.8
328,1,5,10.83
329,4,1,5.8
330,1,5,10.73
331,4,4,14.25
332,5,3,3.2
333,1,5,3.56
334,2,6,13.57
335,3,4,11.19
336,4,5,11.72
337,3,3,15.51
338,3,4,21.98
339,4,5,9.75
340,1,3,13.98
341,4,5,23.76
342,1,4,3.26
343,0,4,20.64
344,5,4,4.48
345,2,4,12.1
346,1,4,13.56
347,0,5,6.26
348,4,5,10.08
349,1,3,2.94
350,2,3,1.06
351,5,6,17.12
352,3,4,20.35
353,2,3,11.7
354,1,4,19.95
355,3,2,11.24
356,4,6,6.3
357,0,3,7.1
358,5,6,38.07
359,4,5,15.3
360,1,3,13.5
361,3,3,5.18
362,0,5,10.58
363,4,3,11.66
364,3,4,6.48
365,2,4,2.31
366,5,6,17.09
367,4,5,24.86
368,4,6,11.23
369,2,3,11.61
370,4,5,9.63
371,3,4,32.02
372,5,5,9.75
373,3,5,14.84
374,4,6,12.12
375,2,5,9.86
376,2,4,5.56
377,3,3,8.35
378,3,4,7.7
379,3,5,3.15
380,1,3,9.74
381,5,4,4.67
382,5,4,13.91
383,2,2,15.39
384,4,4,17.18
385,0,4,15.31
386,1,4,15.39
387,1,3,15.46
388,3,4,12.64
389,5,2,5.24
390,4,5,8.57
391,2,3,5.22
392,0,5,8.68
393,1,3,10.61
394,3,2,11.47
395,2,3,10.44
396,1,4,10.75
397,4,3,4.88
398,5,3,11.28
399,2,2,5.88
400,3,6,4.88
401,3,5,5.31
402,2,3,3.98
403,3,3,16.38
404,3,4,15.02
405,2,5,19.14
406,4,4,5.5
407,1,2,16.14
408,4,5,14.48
409,3,3,10.56
410,2,4,7.94
411,1,4,11.43
412,2,3,3.08
413,0,3,4.54
414,1,3,6.77
415,4,5,14.95
416,1,3,13.06
417,2,4,7.96
418,1,6,12.16
419,1,3,8.78
420,3,3,26.64
421,3,3,18.53
422,5,4,16.56
423,0,3,23.9
424,2,4,6.38
425,3,5,15.62
426,4,4,13.62
427,2,6,15.84
428,1,5,21.56
429,3,4,13.11
430,0,4,5.04
431,3,3,2.11
432,3,3,3.84
433,5,4,10.13
434,2,6,12.79
435,4,4,12.72
436,2,3,2.93
437,1,5,11.09
438,5,6,31.36
439,2,4,29.34
440,5,7,3.36
441,0,4,9.65
442,4,7,4.35
443,2,5,4.5
444,4,4,12.84
445,1,3,3.99
446,2,5,12.8
447,3,5,14.16
448,2,3,7.62
449,0,3,9.11
450,4,3,10.84
451,5,5,7
452,1,3,22.44
453,1,5,11.53
454,3,3,6.43
455,4,4,8.95
456,1,3,6.79
457,0,3,2.08
458,3,5,3.59
459,2,4,10.88
460,1,5,19.12
461,2,4,11.15
462,2,3,12.71
463,3,5,7.38
464,5,6,49.25
465,4,4,4.56
466,3,3,2.58
467,2,4,7.06
468,5,6,22.64
469,1,3,3.84
470,2,5,2.96
471,3,3,19.32
472,2,4,7.14
473,2,2,4.38
474,5,3,15.66
475,5,4,9.83
476,4,5,3.66
477,4,5,2.14
478,2,4,7.91
479,4,3,22.85
480,3,4,11.3
481,4,3,7.9
482,2,2,6.41
483,1,3,3.28
484,5,6,27.12
485,4,7,18.96
486,2,4,10.49
487,3,6,8.14
488,1,3,4.98
489,1,4,19.72
490,1,3,15.12
491,4,4,7.59
492,2,5,30.62
493,4,3,4.75
494,2,5,12.47
495,4,5,2.46
496,2,7,22.44
497,2,4,20.97
498,5,5,26.45
499,3,3,13.13
500,3,3,17.73
501,1,6,7.92
502,1,3,23.54
503,2,3,14.7
504,1,3,10.56
505,1,4,9.64
506,5,4,16.42
507,3,4,4.16
508,3,3,2.52
509,4,4,26.91
510,5,3,12.21
511,3,5,22.13
512,1,6,35.98
513,3,5,14.22
514,1,5,3.84
515,1,5,9.98
516,4,1,0.97
517,3,3,5.33
518,3,5,19.11
519,1,3,11.61
520,2,4,14.16
521,5,5,14.67
522,3,4,11.66
523,1,5,2.99
524,3,5,12.48
525,0,4,15.73
526,4,3,18.92
527,5,5,9.5
528,4,6,10.98
529,3,4,11.63
530,2,3,16.08
531,4,5,2.94
532,2,5,2.86
533,1,4,28.65
534,1,3,5.44
535,3,5,7.14
536,5,4,12.17
537,1,5,29.52
538,3,2,13.11
539,5,3,25.75
540,2,5,24.8
541,5,6,19.32
542,3,3,11.43
543,3,5,34.8
544,2,4,5.63
545,3,3,30.96
546,0,2,2.93
547,2,4,9.96
548,1,2,7
549,5,4,6.45
550,4,3,15.5
551,0,5,6.31
552,4,2,8.04
553,4,3,5.79
554,3,2,7.65
555,4,4,23.9
556,2,2,8.06
557,4,5,4.72
558,2,5,11.02
559,5,5,9.24
560,0,2,11.04
561,1,6,14.11
562,1,3,6.84
563,4,6,41.53
564,2,5,2.7
565,5,3,24.6
566,3,4,8.34
567,4,4,10.8
568,2,3,17.33
569,5,2,5.76
570,5,3,16.59
571,3,5,13.63
572,0,3,8.37
573,4,5,8.22
574,3,4,7.18
575,2,4,9.29
576,1,5,9.73
577,2,5,25.02
578,4,4,9.41
579,3,4,28.8
580,4,5,17.63
581,0,3,7.39
582,1,3,3.28
583,4,4,9.68
584,5,5,6.32
585,4,2,8.7
586,0,4,3.08
587,3,5,15.12
588,3,3,21.61
589,1,3,6.6
590,3,6,31.08
591,2,3,11.97
592,3,2,9.46
593,2,5,22
594,3,4,13.16
595,2,3,3.02
596,3,5,19.26
597,2,3,18.31
598,1,5,18.48
599,3,2,7.56
600,5,5,4.83
601,0,5,15.12
602,3,4,2.85
603,2,2,5.88
604,1,4,7.24
605,4,3,16.41
606,3,5,10.99
607,5,2,1.84
608,1,5,8.85
609,1,3,2.73
610,3,3,9.63
611,4,5,6.11
612,4,6,26.03
613,3,4,5.88
614,0,6,29.07
615,0,4,15.71
616,3,2,5.1
617,5,3,13.62
618,3,4,6.46
619,4,4,22.44
620,2,4,35.55
621,4,4,18.1
622,1,3,2.57
623,3,4,10.58
624,4,5,29.32
625,5,5,10.95
626,3,4,6.59
627,0,6,23.52
628,3,4,4.62
629,1,6,8.06
630,3,4,6.19
631,1,5,27.55
632,2,5,20.86
633,1,5,23.52
634,1,3,25.41
635,1,3,5.04
636,2,5,18.02
637,1,4,2.88
638,1,4,12.95
639,4,4,9.89
640,3,6,5.98
641,2,6,33.88
642,4,2,5.16
643,3,4,12.21
644,1,3,6.44
645,0,4,16.98
646,0,4,8.34
647,0,5,9.35
648,3,3,7.31
649,5,5,21.58
650,2,6,4.59
651,0,5,25.4
652,5,5,10.62
653,1,3,7.11
654,5,3,13.68
655,0,4,22.27
656,3,2,1.98
657,4,4,15.62
658,3,4,22.37
659,4,5,3.4
660,3,3,3.72
661,3,3,3.65
662,4,4,15.21
663,0,4,14.43
664,4,4,21.12
665,2,4,5.97
666,0,4,11.13
667,3,4,26.71
668,3,5,6.84
669,1,6,21.17
670,0,4,20.81
671,2,6,26.1
672,2,3,10.47
673,3,4,10.18
674,2,5,4.26
675,4,5,11.3
676,1,5,10.84
677,2,5,13.8
678,3,5,16
679,3,5,17.66
680,3,3,14.76
681,0,5,5.22
682,1,3,6.01
683,3,3,5.76
684,3,4,26.06
685,2,5,10.94
686,5,4,16.02
687,2,4,17.14
688,4,4,15.17
689,0,3,27.94
690,0,4,14.1
691,3,6,13.32
692,1,4,10.81
693,1,3,11.7
694,4,5,13.34
695,4,5,15.94
696,4,5,25.32
697,3,3,8.33
698,5,6,3.04
699,0,5,11.66
700,2,2,6.16
701,5,4,12.01
702,3,4,41.04
703,4,6,11.6
704,2,3,7.54
705,3,5,14.51
706,3,3,11.66
707,3,4,6.72
708,2,4,8.54
709,0,3,11.72
710,3,4,7.64
711,1,2,6.9
712,5,4,6.3
713,0,3,7.67
714,3,2,12.3
715,0,4,10.03
716,2,3,7.6
717,5,3,15.54
718,2,3,35.37
719,3,3,8.65
720,3,5,3.65
721,2,3,14.78
722,5,5,15.18
723,1,2,11.6
724,4,5,22.26
725,2,5,5.63
726,3,1,1.24
727,2,3,14.25
728,4,4,20.13
729,3,4,5.71
730,4,5,21.81
731,3,2,15.42
732,3,5,9.48
733,4,4,18.56
734,4,4,9.9
735,4,2,7.22
736,1,5,22.44
737,1,5,10.73
738,3,4,7.08
739,0,3,6.28
740,4,4,8.96
741,2,3,9.28
742,0,5,11.12
743,3,6,28.51
744,4,5,14.2
745,2,4,7.73
746,3,2,11.99
747,2,3,9.69
748,3,4,15.12
749,3,3,16.98
750,1,4,3.24
751,2,4,13.68
752,4,4,11.79
753,1,2,8.43
754,4,4,7.67
755,4,5,5.21
756,4,5,13.99
757,4,3,29.95
758,3,3,12.52
759,3,3,28.27
760,1,4,14.63
761,1,5,19.21
762,2,4,11.64
763,5,5,6.26
764,3,3,7.44
765,3,4,29.93
766,3,6,27.98
767,3,5,1.83
768,2,2,5.3
769,3,5,15.44
770,4,4,7.73
771,4,6,10.04
772,3,3,5.18
773,4,3,26.84
774,1,4,18.14
775,3,4,7.62
776,2,5,13.44
777,4,4,8.78
778,5,6,23.9
779,5,4,24.36
780,5,6,8.27
781,4,6,23.76
782,2,4,10.69
783,2,4,3.58
784,2,6,22.24
785,3,4,10.04
786,4,6,11.55
787,5,5,8.35
788,3,3,5.93
789,2,2,16.93
790,0,4,38.42
791,4,4,14.34
792,2,6,27.17
793,3,4,17.89
794,4,4,4.74
795,2,3,6.04
796,3,4,7.39
797,1,6,25.7
798,2,4,5.19
799,3,5,21.9
800,2,3,15.22
801,2,3,11.17
802,3,5,16.1
803,0,3,20.3
804,4,5,13.56
805,4,5,23.84
806,4,5,28.56
807,4,5,3.57
808,2,5,14.62
809,4,2,5.59
810,3,3,9.63
811,3,3,13.69
812,2,3,7.02
813,4,4,8.16
814,2,4,7.79
815,4,5,7.72
816,3,4,10.56
817,3,4,11.38
818,2,3,12.2
819,5,4,16.52
820,1,4,7.73
821,3,3,23.5
822,0,3,6.26
823,0,5,27.24
824,2,3,15.9
825,2,5,17.77
826,4,5,20.2
827,1,4,33.48
828,1,3,3.63
829,3,5,16.42
830,2,5,6.28
831,3,3,3.36
832,0,3,2.52
833,1,4,13.53
834,2,2,18.03
835,0,3,13.04
836,0,4,5.93
837,1,4,7.35
838,1,3,21.49
839,1,5,17.04
840,2,4,16.88
841,0,2,2.86
842,2,5,13.34
843,3,4,14
844,2,5,13.86
845,4,5,7.88
846,4,6,10.8
847,1,5,4.08
848,2,5,11.59
849,4,4,7.72
850,2,5,10.13
851,2,4,3.22
852,0,5,14.58
853,0,3,14.11
854,2,3,15.87
855,4,4,4.44
856,3,4,8.42
857,3,4,7.07
858,1,4,6.72
859,1,3,8.51
860,2,4,2.81
861,4,4,15.66
862,5,4,21.36
863,3,6,25.54
864,2,6,22.35
865,4,4,26.71
866,1,4,5.24
867,1,4,11.59
868,0,3,11.81
869,5,3,8.64
870,2,4,3.19
871,4,6,25.63
872,1,3,2.39
873,2,5,4.45
874,4,4,7.74
875,4,4,8.84
876,1,6,5.17
877,3,4,9.45
878,4,3,4.37
879,3,4,10.69
880,1,3,9.05
881,2,5,3.17
882,3,4,6.84
883,3,3,5.76
884,1,5,5.99
885,3,5,8.63
886,1,4,21.11
887,0,4,12.62
888,2,4,17.64
889,0,4,7.62
890,0,3,3.14
891,2,4,9.88
892,3,6,10.38
893,2,3,12.9
894,3,2,11.66
895,1,1,6.41
896,4,5,16.12
897,1,5,19.37
898,2,3,6.96
899,1,4,12.24
900,4,5,21.28
901,4,6,20.13
902,1,5,3.6
903,5,5,17.76
904,3,3,8.6
905,1,5,14.85
906,4,5,37.58
907,4,3,8.01
908,1,4,2.03
909,4,4,5.72
910,4,3,7.06
911,4,3,7.08
912,3,5,2.93
913,5,1,5.73
914,1,4,3.92
915,4,4,6.38
916,2,5,27.42
917,2,4,13.37
918,2,4,18.58
919,4,6,22.18
920,1,6,6.52
921,1,3,7.26
922,4,4,19.23
923,3,4,19.05
924,3,5,19.32
925,1,5,6.13
926,3,6,23.26
927,2,4,26.63
928,4,5,5.98
929,0,3,2.28
930,2,3,11.12
931,3,4,16.1
932,4,6,5.78
933,1,5,12.53
934,1,3,1.12
935,3,3,7.12
936,4,5,13.98
937,4,5,19.92
938,1,5,14.46
939,0,5,24.64
940,2,3,9.5
941,5,5,5.35
942,2,4,36.06
943,5,2,15
944,2,3,22.51
945,3,6,6.56
946,3,4,12.85
947,3,4,18.62
948,3,5,6.16
949,0,3,4
950,2,2,7.35
951,5,4,22.88
952,3,2,3.96
953,5,6,7.71
954,3,3,3.78
955,2,4,22.3
956,4,5,2.77
957,4,4,7.45
958,2,4,16.51
959,1,4,12.42
960,4,4,8.95
961,1,4,18.77
962,4,5,19.79
963,3,3,15.71
964,1,1,10.32
965,2,2,3.9
966,5,4,9.97
967,1,5,16.24
968,3,4,15.44
969,2,5,7.18
970,4,3,12.53
971,1,3,12.72
972,3,4,4.86
973,4,5,10.26
974,3,3,4.96
975,5,3,0.67
976,3,4,10.04
977,3,5,14.11
978,1,4,9.36
979,1,3,2.21
980,2,5,5.11
981,5,4,9.98
982,4,5,44.2
983,3,4,2.48
984,4,4,29.9
985,3,4,15.63
986,1,3,5.88
987,1,4,20.83
988,2,6,6
989,3,3,18.67
990,2,5,8.5
991,4,6,5.44
992,2,4,13.74
993,4,2,3.44
994,0,4,8.06
995,2,3,11.47
996,3,6,6.98
997,3,3,22.64
998,4,5,25.12
999,2,6,13.89
1000,1,5,4.68
1001,2,5,19.27
1002,1,5,11.87
1003,4,3,3.24
1004,2,4,11.34
1005,2,3,5.04
1006,4,7,23.52
1007,3,6,22.88
1008,1,1,3.93
1009,4,3,1.6
1010,1,3,11.5
1011,5,4,2.27
1012,3,5,11.13
1013,2,3,13.46
1014,1,5,11.6
1015,0,1,4.18
1016,2,5,10.2
1017,1,5,10.68
1018,4,5,11.12
1019,3,3,12.96
1020,1,6,39.1
1021,3,4,5.1
1022,4,3,12.62
1023,5,2,5.66
1024,1,4,21.06
1025,3,3,4.72
1026,4,4,7.85
1027,2,3,9.07
1028,5,5,9.98
1029,4,5,15.68
1030,3,5,15.4
1031,3,4,25.08
1032,4,3,3.2
1033,2,3,6.46
1034,0,5,6.14
1035,4,5,11.82
1036,1,5,35.33
1037,3,3,12.56
1038,2,4,7.75
1039,3,6,16.2
1040,2,3,14.76
1041,2,6,11.8
1042,5,5,9.81
1043,3,6,16.02
1044,3,2,7.52
1045,4,2,8.78
1046,2,4,23.04
1047,2,6,14.46
1048,4,6,27.12
1049,2,6,13.05
1050,2,3,22.78
1051,1,3,14.7
1052,2,6,31.81
1053,2,5,12.01
1054,2,2,13.33
1055,2,5,9.18
1056,4,3,9.35
1057,4,3,11.66
1058,4,4,33.4
1059,2,5,11.54
1060,1,4,20.41
1061,5,4,18.29
1062,2,4,6.82
1063,3,5,6.21
1064,3,6,28.62
1065,5,5,21.6
1066,4,5,27.52
1067,0,3,11.87
1068,4,5,9.37
1069,3,4,8.42
1070,1,3,13.04
1071,3,5,32.48
1072,3,3,19.94
1073,2,4,14.72
1074,4,4,31.08
1075,3,5,20.05
1076,4,4,6.1
1077,3,5,32.51
1078,3,4,16.24
1079,4,5,5.17
1080,5,2,3.78
1081,4,7,31.84
1082,2,3,4.77
1083,0,5,9.96
1084,3,4,23.63
1085,5,2,5.33
1086,1,5,13.2
1087,1,3,26.63
1088,4,4,8.74
1089,3,5,10.24
1090,2,4,8.76
1091,4,4,17.09
1092,3,4,15.98
1093,4,2,8.3
1094,5,4,16.74
1095,3,7,12.71
1096,4,6,14.26
1097,2,4,14.15
1098,2,4,8.09
1099,4,5,23.1
1100,1,4,10.94
1101,1,4,20.71
1102,3,3,28.51
1103,3,6,17.02
1104,3,4,15.9
1105,3,6,12.96
1106,0,4,18.1
1107,3,3,6.84
1108,3,4,4.49
1109,3,3,26.07
1110,5,5,6.44
1111,4,4,7.71
1112,3,5,11.16
1113,1,4,15.71
1114,5,5,6.6
1115,4,3,2.75
1116,2,3,5.18
1117,1,6,18
1118,5,6,4.29
1119,4,4,3.36
1120,1,3,33.5
1121,4,3,14.85
1122,4,5,25.12
1123,1,4,8.57
1124,1,2,13.8
1125,4,3,9.2
1126,5,5,4.22
1127,4,4,10.75
1128,5,4,14.82
1129,2,6,23.36
1130,0,2,10.75
1131,4,6,12.99
1132,4,6,9.5
1133,1,3,9.34
1134,0,3,16.78
1135,4,4,5.76
1136,4,3,14.34
1137,1,4,6.9
1138,0,4,6.98
1139,1,5,16.38
1140,1,5,4.19
1141,1,5,13.65
1142,2,2,4.92
1143,4,4,4.39
1144,3,6,17.89
1145,1,4,1.97
1146,2,5,17.65
1147,4,6,22.92
1148,2,3,6.67
1149,4,5,2.65
1150,4,4,10.42
1151,1,4,6.75
1152,3,2,4.76
1153,1,4,5.4
1154,4,3,15.29
1155,3,5,6.53
1156,3,4,4.37
1157,1,2,13.12
1158,3,2,2.04
1159,1,5,9.51
1160,4,6,18.14
1161,4,3,5.22
1162,2,2,9.12
1163,3,2,14.15
1164,1,3,14.22
1165,2,4,21.37
1166,1,4,9.11
1167,3,5,16.63
1168,3,3,17.4
1169,2,3,14.46
1170,0,3,8.66
1171,2,2,15.12
1172,2,3,8.74
1173,4,4,5.73
1174,4,4,20.33
1175,3,4,3.92
1176,0,5,5.62
1177,5,5,9.15
1178,2,2,6.05
1179,2,6,6.14
1180,5,3,16.29
1181,1,4,19.21
1182,1,4,3.72
1183,3,4,21.6
1184,0,4,9.37
1185,0,5,15.39
1186,1,6,8.4
1187,0,4,20.81
1188,4,5,3.69
1189,4,4,11.84
1190,3,4,5.04
1191,3,5,10.62
1192,2,5,8.53
1193,3,5,15.01
1194,3,3,12.53
1195,4,4,17.57
1196,4,4,11.19
1197,4,7,7.2
1198,1,4,5.26
1199,1,4,10.1
1200,3,4,23.56
1201,2,5,25.9
1202,2,2,21.01
1203,2,3,9.31
1204,2,2,2.73
1205,4,3,12.64
1206,1,3,8.82
1207,4,5,10.5
1208,3,6,15.6
1209,1,4,7.83
1210,3,5,7.63
1211,1,3,9.66
1212,4,4,19.04
1213,3,6,14.96
1214,4,4,11.42
1215,2,4,5.74
1216,3,5,38.66
1217,2,4,26.25
1218,3,2,9.94
1219,5,4,43.85
1220,5,3,27.22
1221,0,2,12.12
1222,3,2,4.68
1223,2,5,7.78
1224,2,6,14.26
1225,2,2,23.28
1226,2,5,16.51
1227,5,6,21.8
1228,4,4,24.28
1229,3,6,26.33
1230,2,4,13.61
1231,4,4,13.77
1232,2,5,24.15
1233,2,4,2.93
1234,5,4,31.77
1235,0,5,11.12
1236,4,5,21.22
1237,1,2,15.67
1238,1,4,3.52
1239,3,5,4.36
1240,1,4,22.54
1241,4,6,19.65
1242,5,4,4.98
1243,1,1,7.53
1244,5,3,6.98
1245,3,4,2.86
1246,3,6,17.04
1247,1,2,6.85
1248,2,3,10.02
1249,3,3,9.25
1250,3,3,8.88
1251,1,4,9.74
1252,1,3,10.2
1253,3,4,6.48
1254,3,5,9.08
1255,3,3,8.32
1256,1,4,12.31
1257,0,5,6.62
1258,4,5,10.13
1259,1,4,24.1
1260,1,5,17.99
1261,5,5,24.15
1262,1,5,22.14
1263,4,4,27.93
1264,0,4,11.44
1265,4,5,31.42
1266,1,4,28.56
1267,3,5,7.47
1268,4,3,6.73
1269,4,3,7.63
1270,2,3,0.62
1271,4,4,14.74
1272,3,5,16.83
1273,5,2,9.6
1274,1,5,26.19
1275,3,3,3.46
1276,4,3,9.28
1277,2,3,3.93
1278,3,2,19.55
1279,2,5,12.31
1280,4,5,5.48
1281,3,5,6.91
1282,3,3,13.37
1283,2,4,23.9
1284,0,3,12.71
1285,1,4,8.97
1286,2,4,7.78
1287,1,5,6.3
1288,3,3,7.22
1289,3,4,8.56
1290,4,3,21
1291,4,3,11.8
1292,4,2,18.15
1293,0,5,4.54
1294,0,4,13.3
1295,3,4,5
1296,3,6,19.91
1297,3,5,20.42
1298,4,4,33.06
1299,2,6,33.76
1300,2,2,2.56
1301,2,3,3.8
1302,3,7,14.49
1303,3,2,7.88
1304,1,5,18.5
1305,1,4,12.06
1306,3,1,1.55
1307,2,3,10.19
1308,2,3,13.34
1309,3,6,12.16
1310,3,5,8.66
1311,2,4,13.08
1312,5,3,18.97
1313,4,5,10.18
1314,2,5,32.63
1315,2,4,5.93
1316,1,4,15.34
1317,3,3,6.9
1318,3,5,13.32
1319,0,5,6.72
1320,2,4,3.66
1321,0,4,7.38
1322,0,5,21.48
1323,1,6,43.23
1324,2,4,10.87
1325,4,4,29.52
1326,3,6,17.7
1327,2,2,7.02
1328,4,4,2.88
1329,4,4,6.69
1330,2,6,6.51
1331,3,6,21.76
1332,2,4,21.78
1333,2,4,13.68
1334,1,3,8.75
1335,0,5,20.22
1336,1,2,1.91
1337,2,4,6.95
1338,4,5,27.38
1339,0,5,11.8
1340,4,7,12.58
1341,3,3,20.59
1342,1,3,8.93
1343,3,4,5.81
1344,0,4,14.7
1345,5,4,26.36
1346,0,3,5.71
1347,2,3,5.62
1348,2,4,38.6
1349,1,5,8.88
1350,4,1,4.63
1351,4,2,5.86
1352,5,3,7.1
1353,4,5,8.81
1354,2,3,2.12
1355,0,5,13.07
1356,5,6,11.78
1357,3,4,34.67
1358,3,5,12.42
1359,3,5,17.21
1360,4,6,10.64
1361,4,5,12.38
1362,5,5,12.51
